Customer ID,Login Freq,subscription plan,MonthlyPayment,Usage hours,Support Tickets,Spending Category
1,18,pREMIUM,1448,56,5,High
2,17,pREMIUM,1187,62,6,hIGH
3,13,sTANDARD,609,22,1,MEDIUM
4,4,bASIC,241,7,1,low
5,18,premium,1154,61,3,High
6,16,NaN,1188,69,4,High
7,18,PREMIUM,1363,56,5,High
8,13,Standard,533,21,2,medium
9,13,null,493,25,2,mEDIUM
10,3,BASIC,246,8,1,Low
11,6,Basic,214,8,0,low
12,17,premium,1180,49,5,High
13,8,sTANDARD,507,24,1,mEDIUM
14,20,pREMIUM,1315,46,5,hIGH
15,19,PREMIUM,1230,42,7,high
16,3,basic,241,7,0,low
17,5,basic,229,8,0,Low
18,4,BASIC,221,7,1,Low
19,13,Standard,554,24,2,medium
20,20,null,1220,61,7,high
21,12,standard,530,25,1,MEDIUM
22,7,bASIC,248,5,1,LOW
23,2,BASIC,216,6,0,null
24,2,Basic,218,9,1,lOW
25,18,Premium,1302,65,5,high
26,13,standard,576,26,2,MEDIUM
27,18,pREMIUM,1445,44,5,hIGH
28,16,Premium,1228,52,6,High
29,10,sTANDARD,486,26,2,Medium
30,6,Basic,231,6,0,Low
31,18,pREMIUM,1251,63,3,hIGH
32,11,Standard,591,26,1,Medium
33,13,Standard,547,18,2,mEDIUM
34,17,premium,1227,42,6,high
35,13,sTANDARD,588,20,2,medium
36,5,bASIC,246,4,0,Low
37,2,Basic,243,7,1,LOW
38,6,BASIC,223,8,0,Low
39,19,Premium,1260,44,4,HIGH
40,9,STANDARD,511,23,1,medium
41,2,bASIC,208,6,1,low
42,16,premium,1112,69,4,High
43,13,sTANDARD,594,24,1,MEDIUM
44,10,STANDARD,542,23,2,
45,10,Standard,580,18,2,mEDIUM
46,12,sTANDARD,595,20,1,mEDIUM
47,13,STANDARD,599,20,2,medium
48,14,Standard,606,26,2,Medium
49,13,Standard,597,26,2,Medium
50,19,pREMIUM,1377,70,5,HIGH
51,6,basic,213,7,0,Low
52,5,bASIC,215,5,1,Low
53,12,sTANDARD,502,23,1,
54,8,sTANDARD,548,21,2,null
55,18,premium,1251,53,4,hIGH
56,19,Premium,1367,44,3,hIGH
57,5,Basic,230,9,1,low
58,12,Standard,569,19,1,medium
59,4,Basic,228,7,0,Low
60,4,bASIC,248,6,1,LOW
61,20,Premium,1323,46,6,high
62,7,bASIC,216,4,1,lOW
63,15,Premium,1199,53,7,high
64,14,STANDARD,607,21,1,medium
65,5,basic,220,7,0,lOW
66,9,standard,601,22,1,Medium
67,3,BASIC,243,4,0,low
68,3,Basic,226,5,1,Low
69,2,basic,221,7,0,low
70,11,standard,498,23,1,MEDIUM
71,19,PREMIUM,1240,59,6,HIGH
72,15,pREMIUM,1100,44,7,HIGH
73,2,BASIC,237,8,1,lOW
74,19,premium,1179,63,7,hIGH
75,3,BASIC,246,4,0,low
76,10,sTANDARD,491,25,2,mEDIUM
77,9,sTANDARD,539,19,2,Medium
78,14,STANDARD,525,20,1,MEDIUM
79,3,basic,209,9,1,Low
80,8,standard,490,22,2,Medium
81,2,,233,4,0,Low
82,6,basic,230,8,1,Low
83,9,STANDARD,562,18,1,Medium
84,5,bASIC,200,4,1,LOW
85,9,STANDARD,597,20,1,mEDIUM
86,13,standard,536,18,2,medium
87,9,NaN,554,20,1,mEDIUM
88,13,STANDARD,558,20,1,mEDIUM
89,18,premium,1129,64,4,High
90,3,bASIC,216,7,1,Low
91,7,basic,242,6,1,low
92,17,pREMIUM,1107,45,6,High
93,3,BASIC,218,8,0,NaN
94,6,BASIC,240,7,1,LOW
95,15,PREMIUM,1381,66,3,high
96,2,bASIC,225,7,0,Low
97,21,pREMIUM,1155,63,4,high
98,13,standard,535,20,1,medium
99,3,basic,237,6,0,lOW
100,14,STANDARD,496,24,2,MEDIUM
101,5,Basic,209,6,0,LOW
102,14,sTANDARD,487,25,1,medium
103,9,,538,23,1,Medium
104,22,premium,1103,52,3,high
105,20,NaN,1421,61,6,hIGH
106,10,standard,541,26,2,medium
107,7,basic,225,9,1,lOW
108,15,PREMIUM,1189,55,7,high
109,15,Premium,1277,65,4,high
110,11,Standard,544,22,1,Medium
111,17,PREMIUM,1193,58,7,hIGH
112,15,Premium,1175,44,5,
113,15,PREMIUM,1328,55,6,high
114,20,Premium,1161,45,3,HIGH
115,22,PREMIUM,1113,60,7,High
116,2,Basic,232,5,1,lOW
117,13,sTANDARD,546,24,1,MEDIUM
118,2,Basic,229,6,1,LOW
119,21,PREMIUM,1388,45,4,High
120,12,sTANDARD,526,21,1,mEDIUM
121,6,,246,7,1,LOW
122,10,standard,506,22,2,MEDIUM
123,21,pREMIUM,1445,55,5,HIGH
124,2,bASIC,246,7,0,lOW
125,3,BASIC,248,7,0,Low
126,7,Basic,210,4,1,Low
127,15,pREMIUM,1100,63,5,high
128,3,basic,225,4,0,lOW
129,14,standard,570,18,2,medium
130,5,Basic,205,8,1,Low
131,11,standard,593,22,1,Medium
132,13,standard,542,25,1,Medium
133,17,Premium,1310,70,3,High
134,8,STANDARD,557,20,1,MEDIUM
135,13,sTANDARD,542,21,1,Medium
136,9,Standard,589,19,2,medium
137,19,premium,1107,42,3,high
138,7,basic,246,8,0,Low
139,22,pREMIUM,1187,55,5,hIGH
140,14,STANDARD,534,19,1,medium
141,4,BASIC,235,8,1,LOW
142,16,pREMIUM,1294,64,6,High
143,3,BASIC,243,6,1,LOW
144,10,standard,607,18,2,Medium
145,2,BASIC,238,4,1,low
146,6,BASIC,233,8,0,LOW
147,7,Basic,233,4,0,LOW
148,13,STANDARD,506,26,1,medium
149,6,Basic,206,5,0,LOW
150,9,Standard,533,18,1,mEDIUM
151,22,premium,1110,45,3,high
152,21,pREMIUM,1251,63,7,High
153,17,PREMIUM,1343,52,3,high
154,9,Standard,552,26,2,Medium
155,8,,518,20,1,Medium
156,11,standard,498,22,2,medium
157,2,bASIC,246,7,1,lOW
158,6,Basic,215,9,1,LOW
159,8,standard,588,24,1,MEDIUM
160,14,standard,596,24,1,mEDIUM
161,3,basic,230,9,1,low
162,7,bASIC,230,6,1,Low
163,14,sTANDARD,587,24,1,Medium
164,3,bASIC,232,8,1,LOW
165,13,sTANDARD,492,19,2,
166,8,Standard,541,22,2,mEDIUM
167,13,,582,21,1,MEDIUM
168,9,Standard,547,19,2,Medium
169,15,pREMIUM,1404,66,6,high
170,18,PREMIUM,1297,48,5,High
171,22,premium,1247,70,7,
172,8,Standard,482,25,2,Medium
173,4,Basic,219,5,0,low
174,8,Standard,482,20,2,null
175,12,standard,577,26,2,medium
176,3,basic,211,5,0,lOW
177,11,Standard,517,25,1,mEDIUM
178,5,BASIC,204,8,0,lOW
179,16,pREMIUM,1422,65,4,high
180,22,premium,1267,69,3,high
181,2,basic,241,7,0,LOW
182,3,bASIC,230,5,1,low
183,11,sTANDARD,481,24,2,Medium
184,3,bASIC,223,8,0,
185,14,STANDARD,539,22,1,mEDIUM
186,22,PREMIUM,1116,53,3,HIGH
187,16,pREMIUM,1405,55,7,hIGH
188,19,NaN,1132,47,5,HIGH
189,5,Basic,216,6,0,low
190,18,PREMIUM,1387,43,6,high
191,6,bASIC,246,8,0,LOW
192,15,,1157,69,4,high
193,14,STANDARD,506,25,2,Medium
194,17,premium,1273,59,6,high
195,10,STANDARD,525,26,2,medium
